user,destination,review,sentiment,helpful_count,verified_traveler
user007,Agra,Outstanding Agra visit. food was incredible.,positive,39,True
user007,Manali,Average experience. scenery could be better.,neutral,99,True
user007,Hampi,Overrated destination. cleanliness needs improvement.,negative,49,True
user008,Rishikesh,Decent cleanliness. The views was okay but nothing special.,neutral,62,True
user008,Udaipur,Standard Udaipur visit. activities was acceptable.,neutral,19,True
user008,Kerala,Beautiful ambiance and excellent hospitality. Perfect for families.,positive,65,True
user008,Hampi,Decent accommodation. The activities was okay but nothing special.,neutral,8,True
user008,Jaipur,Disappointing attractions. The service was not up to the mark.,negative,0,True
user008,Leh-Ladakh,Fantastic experience at Leh-Ladakh. The cleanliness exceeded expectations.,positive,46,False
user008,Darjeeling,Overrated destination. accommodation needs improvement.,negative,54,True
user008,Agra,Fantastic experience at Agra. The accommodation exceeded expectations.,positive,23,True
user008,Delhi,Beautiful ambiance and excellent scenery. Perfect for couples.,positive,71,True
user009,Udaipur,Overrated destination. attractions needs improvement.,negative,35,False
user009,Leh-Ladakh,Average experience. hospitality could be better.,neutral,56,True
user009,Darjeeling,Amazing food! The views was absolutely wonderful. Highly recommend for couples.,positive,16,True
user009,Rishikesh,Fantastic experience at Rishikesh. The hospitality exceeded expectations.,positive,18,True
user009,Varanasi,Expected better cleanliness considering the hype.,negative,54,True
user009,Agra,Standard Agra visit. ambiance was acceptable.,neutral,32,True
user009,Delhi,Poor service and crowded accommodation. Not recommended for couples.,negative,31,False
user009,Shimla,Poor service and crowded food. Not recommended for adventure seekers.,negative,43,True
user009,Ooty,Beautiful facilities and excellent attractions. Perfect for solo travelers.,positive,90,True
user009,Hampi,Amazing cleanliness! The culture was absolutely wonderful. Highly recommend for solo travelers.,positive,21,True
user009,Mumbai,Poor facilities and crowded scenery. Not recommended for solo travelers.,negative,31,False
user009,Goa,Beautiful views and excellent cleanliness. Perfect for adventure seekers.,positive,89,False
user010,Hampi,Fantastic experience at Hampi. The food exceeded expectations.,positive,92,True
user010,Manali,Beautiful activities and excellent hospitality. Perfect for families.,positive,34,True
user010,Agra,Fantastic experience at Agra. The scenery exceeded expectations.,positive,94,True
user010,Darjeeling,Amazing attractions! The facilities was absolutely wonderful. Highly recommend for couples.,positive,65,False
user010,Delhi,Outstanding Delhi visit. hospitality was incredible.,positive,95,True
user010,Udaipur,Average experience. food could be better.,neutral,74,True
user010,Rishikesh,Poor activities and crowded cleanliness. Not recommended for families.,negative,11,False
user010,Varanasi,Poor culture and crowded hospitality. Not recommended for solo travelers.,negative,81,True
user010,Mumbai,Expected better food considering the hype.,negative,64,True
user011,Delhi,Expected better hospitality considering the hype.,negative,81,True
user011,Ooty,Average experience. cleanliness could be better.,neutral,15,True
user011,Udaipur,Disappointing cleanliness. The facilities was not up to the mark.,negative,29,True
user011,Jaipur,Beautiful activities and excellent cleanliness. Perfect for adventure seekers.,positive,92,True
user011,Shimla,Decent attractions. The views was okay but nothing special.,neutral,67,True
user011,Mumbai,Amazing food! The culture was absolutely wonderful. Highly recommend for solo travelers.,positive,83,True
user011,Goa,Disappointing hospitality. The service was not up to the mark.,negative,21,True
user011,Agra,Beautiful culture and excellent cleanliness. Perfect for solo travelers.,positive,90,True
user012,Jaipur,Poor facilities and crowded attractions. Not recommended for solo travelers.,negative,47,False
user012,Agra,Fantastic experience at Agra. The food exceeded expectations.,positive,71,False
user012,Hampi,Beautiful facilities and excellent accommodation. Perfect for solo travelers.,positive,31,False
user012,Udaipur,Fantastic experience at Udaipur. The accommodation exceeded expectations.,positive,50,False
user012,Delhi,Fantastic experience at Delhi. The hospitality exceeded expectations.,positive,35,True
user012,Goa,Outstanding Goa visit. attractions was incredible.,positive,95,False
user012,Kerala,Beautiful facilities and excellent accommodation. Perfect for couples.,positive,42,True
user012,Mumbai,Standard Mumbai visit. activities was acceptable.,neutral,47,False
user013,Ooty,Beautiful activities and excellent accommodation. Perfect for solo travelers.,positive,78,True
user013,Darjeeling,Average experience. scenery could be better.,neutral,50,True
user013,Varanasi,Decent attractions. The views was okay but nothing special.,neutral,75,False
user013,Manali,Standard Manali visit. facilities was acceptable.,neutral,52,True
user013,Hampi,Amazing cleanliness! The activities was absolutely wonderful. Highly recommend for couples.,positive,42,True
user013,Mumbai,Fantastic experience at Mumbai. The scenery exceeded expectations.,positive,43,True
user014,Kerala,Outstanding Kerala visit. hospitality was incredible.,positive,32,True
user014,Udaipur,Fantastic experience at Udaipur. The food exceeded expectations.,positive,0,False
user014,Manali,Decent scenery. The culture was okay but nothing special.,neutral,23,True
user014,Varanasi,Disappointing attractions. The service was not up to the mark.,negative,86,True
user014,Darjeeling,Amazing attractions! The views was absolutely wonderful. Highly recommend for families.,positive,71,True
user014,Ooty,Amazing cleanliness! The activities was absolutely wonderful. Highly recommend for solo travelers.,positive,45,False
user015,Agra,Amazing food! The service was absolutely wonderful. Highly recommend for adventure seekers.,positive,25,False
user015,Udaipur,Fantastic experience at Udaipur. The scenery exceeded expectations.,positive,61,False
user015,Mumbai,Outstanding Mumbai visit. attractions was incredible.,positive,18,True
user015,Darjeeling,Beautiful culture and excellent accommodation. Perfect for couples.,positive,48,False
user015,Jaipur,Expected better food considering the hype.,negative,91,True
user015,Manali,Amazing accommodation! The facilities was absolutely wonderful. Highly recommend for families.,positive,8,False
user016,Goa,Standard Goa visit. activities was acceptable.,neutral,90,True
user016,Delhi,Fantastic experience at Delhi. The accommodation exceeded expectations.,positive,88,True
user016,Darjeeling,Outstanding Darjeeling visit. scenery was incredible.,positive,7,True
user016,Leh-Ladakh,Outstanding Leh-Ladakh visit. scenery was incredible.,positive,74,False
user016,Ooty,Amazing hospitality! The culture was absolutely wonderful. Highly recommend for families.,positive,53,True
user016,Shimla,Fantastic experience at Shimla. The food exceeded expectations.,positive,35,True
user017,Shimla,Decent scenery. The activities was okay but nothing special.,neutral,8,True
user017,Varanasi,Disappointing cleanliness. The views was not up to the mark.,negative,97,True
user017,Goa,Fantastic experience at Goa. The hospitality exceeded expectations.,positive,74,True
user017,Jaipur,Fantastic experience at Jaipur. The food exceeded expectations.,positive,87,True
user017,Udaipur,Standard Udaipur visit. ambiance was acceptable.,neutral,40,False
user017,Hampi,Overrated destination. food needs improvement.,negative,73,False
user017,Delhi,Poor activities and crowded scenery. Not recommended for families.,negative,48,False
user017,Rishikesh,Fantastic experience at Rishikesh. The cleanliness exceeded expectations.,positive,65,False
user017,Leh-Ladakh,Outstanding Leh-Ladakh visit. food was incredible.,positive,46,False
user018,Agra,Beautiful service and excellent cleanliness. Perfect for couples.,positive,85,True
user018,Udaipur,Standard Udaipur visit. activities was acceptable.,neutral,27,True
user018,Jaipur,Overrated destination. scenery needs improvement.,negative,53,False
user018,Shimla,Poor ambiance and crowded scenery. Not recommended for families.,negative,56,False
user018,Manali,Average experience. accommodation could be better.,neutral,95,False
user018,Hampi,Fantastic experience at Hampi. The hospitality exceeded expectations.,positive,92,True
user019,Agra,Poor facilities and crowded hospitality. Not recommended for couples.,negative,81,False
user019,Varanasi,Amazing food! The activities was absolutely wonderful. Highly recommend for adventure seekers.,positive,47,False
user019,Darjeeling,Fantastic experience at Darjeeling. The food exceeded expectations.,positive,21,True
user019,Kerala,Average experience. cleanliness could be better.,neutral,89,False
user019,Rishikesh,Fantastic experience at Rishikesh. The accommodation exceeded expectations.,positive,35,True
user020,Udaipur,Outstanding Udaipur visit. scenery was incredible.,positive,93,False
user020,Shimla,Disappointing accommodation. The service was not up to the mark.,negative,99,True
user020,Mumbai,Amazing scenery! The service was absolutely wonderful. Highly recommend for families.,positive,19,True
user020,Rishikesh,Amazing attractions! The culture was absolutely wonderful. Highly recommend for couples.,positive,40,True
user020,Agra,Amazing attractions! The ambiance was absolutely wonderful. Highly recommend for solo travelers.,positive,29,True
user021,Jaipur,Poor culture and crowded hospitality. Not recommended for families.,negative,99,True
user021,Agra,Beautiful service and excellent scenery. Perfect for families.,positive,39,True
user021,Ooty,Beautiful ambiance and excellent food. Perfect for families.,positive,62,True
user021,Mumbai,Outstanding Mumbai visit. food was incredible.,positive,78,True
user021,Shimla,Outstanding Shimla visit. cleanliness was incredible.,positive,93,False
user021,Hampi,Amazing accommodation! The culture was absolutely wonderful. Highly recommend for couples.,positive,58,True
user021,Darjeeling,Outstanding Darjeeling visit. scenery was incredible.,positive,5,True
user021,Varanasi,Outstanding Varanasi visit. attractions was incredible.,positive,1,False
user021,Leh-Ladakh,Beautiful ambiance and excellent hospitality. Perfect for adventure seekers.,positive,10,False
user021,Rishikesh,Fantastic experience at Rishikesh. The scenery exceeded expectations.,positive,2,True
user021,Udaipur,Outstanding Udaipur visit. hospitality was incredible.,positive,2,True
user022,Mumbai,Average experience. food could be better.,neutral,1,True
user022,Rishikesh,Amazing scenery! The service was absolutely wonderful. Highly recommend for solo travelers.,positive,73,False
user022,Kerala,Outstanding Kerala visit. food was incredible.,positive,72,False
user022,Manali,Average experience. attractions could be better.,neutral,6,True
user022,Varanasi,Poor facilities and crowded scenery. Not recommended for adventure seekers.,negative,23,False
user022,Hampi,Beautiful service and excellent attractions. Perfect for solo travelers.,positive,48,False
user022,Darjeeling,Standard Darjeeling visit. culture was acceptable.,neutral,93,False
user022,Agra,Poor culture and crowded accommodation. Not recommended for solo travelers.,negative,11,True
user022,Udaipur,Standard Udaipur visit. facilities was acceptable.,neutral,71,True
user022,Goa,Fantastic experience at Goa. The accommodation exceeded expectations.,positive,51,True
user022,Ooty,Standard Ooty visit. service was acceptable.,neutral,42,True
user022,Shimla,Standard Shimla visit. ambiance was acceptable.,neutral,2,True
user023,Hampi,Outstanding Hampi visit. hospitality was incredible.,positive,21,False
user023,Udaipur,Fantastic experience at Udaipur. The attractions exceeded expectations.,positive,30,True
user023,Goa,Outstanding Goa visit. food was incredible.,positive,53,False
user023,Manali,Disappointing hospitality. The activities was not up to the mark.,negative,65,True
user023,Mumbai,Poor activities and crowded cleanliness. Not recommended for families.,negative,44,True
user023,Darjeeling,Expected better accommodation considering the hype.,negative,79,False
user023,Varanasi,Beautiful activities and excellent scenery. Perfect for couples.,positive,77,True
user023,Leh-Ladakh,Overrated destination. attractions needs improvement.,negative,37,False
user023,Kerala,Standard Kerala visit. facilities was acceptable.,neutral,64,False
user023,Rishikesh,Decent hospitality. The views was okay but nothing special.,neutral,25,False
user023,Jaipur,Outstanding Jaipur visit. attractions was incredible.,positive,28,True
user023,Agra,Amazing hospitality! The service was absolutely wonderful. Highly recommend for solo travelers.,positive,18,True
user024,Jaipur,Amazing hospitality! The facilities was absolutely wonderful. Highly recommend for solo travelers.,positive,25,True
user024,Leh-Ladakh,Fantastic experience at Leh-Ladakh. The attractions exceeded expectations.,positive,23,True
user024,Darjeeling,Standard Darjeeling visit. culture was acceptable.,neutral,80,True
user024,Kerala,Standard Kerala visit. activities was acceptable.,neutral,56,False
user024,Shimla,Average experience. hospitality could be better.,neutral,34,True
user024,Delhi,Fantastic experience at Delhi. The hospitality exceeded expectations.,positive,87,False
user024,Agra,Beautiful ambiance and excellent scenery. Perfect for couples.,positive,68,True
user024,Udaipur,Fantastic experience at Udaipur. The hospitality exceeded expectations.,positive,2,False
user024,Ooty,Beautiful activities and excellent accommodation. Perfect for solo travelers.,positive,89,True
user024,Manali,Poor facilities and crowded hospitality. Not recommended for solo travelers.,negative,14,True
user025,Delhi,Fantastic experience at Delhi. The scenery exceeded expectations.,positive,73,True
user025,Mumbai,Overrated destination. cleanliness needs improvement.,negative,96,True
user025,Kerala,Standard Kerala visit. activities was acceptable.,neutral,36,False
user025,Goa,Average experience. accommodation could be better.,neutral,90,True
user025,Leh-Ladakh,Amazing attractions! The views was absolutely wonderful. Highly recommend for families.,positive,93,True
user025,Agra,Average experience. cleanliness could be better.,neutral,23,False
user025,Varanasi,Overrated destination. accommodation needs improvement.,negative,88,False
user025,Hampi,Beautiful service and excellent food. Perfect for couples.,positive,86,True
user026,Manali,Decent food. The service was okay but nothing special.,neutral,76,True
user026,Leh-Ladakh,Overrated destination. accommodation needs improvement.,negative,85,False
user026,Shimla,Poor views and crowded scenery. Not recommended for couples.,negative,1,True
user026,Kerala,Fantastic experience at Kerala. The scenery exceeded expectations.,positive,85,False
user026,Darjeeling,Overrated destination. scenery needs improvement.,negative,77,True
user026,Mumbai,Beautiful views and excellent scenery. Perfect for couples.,positive,39,True
user026,Ooty,Outstanding Ooty visit. hospitality was incredible.,positive,12,True
user026,Goa,Fantastic experience at Goa. The food exceeded expectations.,positive,87,True
user026,Delhi,Beautiful service and excellent scenery. Perfect for couples.,positive,64,True
user026,Udaipur,Average experience. attractions could be better.,neutral,24,True
user027,Shimla,Average experience. cleanliness could be better.,neutral,92,False
user027,Mumbai,Expected better scenery considering the hype.,negative,72,True
user027,Udaipur,Expected better hospitality considering the hype.,negative,67,True
user027,Hampi,Standard Hampi visit. activities was acceptable.,neutral,48,True
user027,Jaipur,Disappointing scenery. The views was not up to the mark.,negative,41,True
user027,Darjeeling,Standard Darjeeling visit. facilities was acceptable.,neutral,4,True
user027,Leh-Ladakh,Fantastic experience at Leh-Ladakh. The accommodation exceeded expectations.,positive,14,True
user027,Manali,Fantastic experience at Manali. The food exceeded expectations.,positive,25,False
user027,Delhi,Average experience. hospitality could be better.,neutral,47,True
user027,Kerala,Standard Kerala visit. culture was acceptable.,neutral,25,False
user027,Ooty,Outstanding Ooty visit. food was incredible.,positive,39,False
user028,Goa,Decent attractions. The ambiance was okay but nothing special.,neutral,24,True
user028,Varanasi,Standard Varanasi visit. views was acceptable.,neutral,56,False
user028,Shimla,Beautiful views and excellent hospitality. Perfect for solo travelers.,positive,55,True
user028,Jaipur,Poor views and crowded hospitality. Not recommended for adventure seekers.,negative,82,True
user028,Mumbai,Disappointing cleanliness. The ambiance was not up to the mark.,negative,19,False
user028,Kerala,Standard Kerala visit. ambiance was acceptable.,neutral,59,True
user028,Agra,Amazing attractions! The culture was absolutely wonderful. Highly recommend for adventure seekers.,positive,84,False
user028,Ooty,Beautiful activities and excellent food. Perfect for adventure seekers.,positive,7,False
user028,Delhi,Beautiful activities and excellent scenery. Perfect for families.,positive,88,True
user028,Leh-Ladakh,Outstanding Leh-Ladakh visit. cleanliness was incredible.,positive,3,True
user028,Udaipur,Amazing scenery! The ambiance was absolutely wonderful. Highly recommend for adventure seekers.,positive,43,True
user029,Mumbai,Outstanding Mumbai visit. hospitality was incredible.,positive,45,False
user029,Hampi,Beautiful ambiance and excellent attractions. Perfect for couples.,positive,65,True
user029,Udaipur,Beautiful ambiance and excellent hospitality. Perfect for adventure seekers.,positive,89,True
user029,Jaipur,Disappointing scenery. The ambiance was not up to the mark.,negative,86,True
user029,Leh-Ladakh,Amazing food! The culture was absolutely wonderful. Highly recommend for couples.,positive,80,True
user029,Shimla,Decent attractions. The views was okay but nothing special.,neutral,54,True
user030,Kerala,Average experience. attractions could be better.,neutral,64,True
user030,Jaipur,Outstanding Jaipur visit. accommodation was incredible.,positive,10,True
user030,Darjeeling,Fantastic experience at Darjeeling. The accommodation exceeded expectations.,positive,47,True
user030,Rishikesh,Amazing cleanliness! The service was absolutely wonderful. Highly recommend for families.,positive,44,True
user030,Mumbai,Average experience. hospitality could be better.,neutral,96,True
user030,Ooty,Disappointing scenery. The culture was not up to the mark.,negative,17,True
user030,Delhi,Average experience. hospitality could be better.,neutral,1,True
user031,Delhi,Overrated destination. cleanliness needs improvement.,negative,99,False
user031,Goa,Amazing hospitality! The culture was absolutely wonderful. Highly recommend for couples.,positive,84,False
user031,Varanasi,Overrated destination. attractions needs improvement.,negative,12,True
user031,Leh-Ladakh,Poor culture and crowded cleanliness. Not recommended for adventure seekers.,negative,40,True
user031,Jaipur,Standard Jaipur visit. activities was acceptable.,neutral,15,True
user031,Manali,Outstanding Manali visit. accommodation was incredible.,positive,16,True
user032,Manali,Disappointing scenery. The facilities was not up to the mark.,negative,81,True
user032,Leh-Ladakh,Average experience. accommodation could be better.,neutral,68,True
user032,Jaipur,Disappointing accommodation. The views was not up to the mark.,negative,28,True
user032,Udaipur,Beautiful views and excellent scenery. Perfect for families.,positive,40,True
user032,Hampi,Amazing food! The ambiance was absolutely wonderful. Highly recommend for solo travelers.,positive,94,True
user032,Darjeeling,Fantastic experience at Darjeeling. The food exceeded expectations.,positive,77,True
user032,Kerala,Standard Kerala visit. service was acceptable.,neutral,45,False
user032,Agra,Expected better food considering the hype.,negative,72,False
user032,Shimla,Disappointing food. The ambiance was not up to the mark.,negative,39,True
user032,Ooty,Average experience. cleanliness could be better.,neutral,23,False
user032,Mumbai,Beautiful ambiance and excellent cleanliness. Perfect for adventure seekers.,positive,44,True
user032,Delhi,Expected better cleanliness considering the hype.,negative,84,True
user033,Mumbai,Overrated destination. attractions needs improvement.,negative,16,True
user033,Agra,Average experience. food could be better.,neutral,26,False
user033,Leh-Ladakh,Beautiful activities and excellent cleanliness. Perfect for families.,positive,19,True
user033,Udaipur,Fantastic experience at Udaipur. The attractions exceeded expectations.,positive,34,True
user033,Ooty,Disappointing hospitality. The activities was not up to the mark.,negative,26,True
user033,Darjeeling,Outstanding Darjeeling visit. scenery was incredible.,positive,71,True
user033,Kerala,Outstanding Kerala visit. scenery was incredible.,positive,41,True
user033,Jaipur,Overrated destination. accommodation needs improvement.,negative,63,False
user033,Goa,Decent cleanliness. The culture was okay but nothing special.,neutral,68,True
user034,Ooty,Fantastic experience at Ooty. The scenery exceeded expectations.,positive,58,True
user034,Udaipur,Disappointing cleanliness. The culture was not up to the mark.,negative,28,True
user034,Shimla,Decent scenery. The activities was okay but nothing special.,neutral,58,False
user034,Leh-Ladakh,Average experience. accommodation could be better.,neutral,19,True
user034,Manali,Decent cleanliness. The service was okay but nothing special.,neutral,81,True
user034,Goa,Outstanding Goa visit. cleanliness was incredible.,positive,98,True
user034,Jaipur,Outstanding Jaipur visit. accommodation was incredible.,positive,86,False
user034,Darjeeling,Beautiful activities and excellent food. Perfect for families.,positive,43,True
user034,Varanasi,Poor views and crowded attractions. Not recommended for solo travelers.,negative,73,False
user034,Kerala,Decent scenery. The activities was okay but nothing special.,neutral,39,True
user035,Goa,Decent cleanliness. The ambiance was okay but nothing special.,neutral,78,True
user035,Delhi,Amazing cleanliness! The views was absolutely wonderful. Highly recommend for adventure seekers.,positive,27,True
user035,Manali,Average experience. hospitality could be better.,neutral,92,True
user035,Rishikesh,Standard Rishikesh visit. ambiance was acceptable.,neutral,86,True
user035,Agra,Standard Agra visit. facilities was acceptable.,neutral,13,True
user035,Varanasi,Beautiful views and excellent food. Perfect for adventure seekers.,positive,27,False
user036,Rishikesh,Beautiful service and excellent hospitality. Perfect for families.,positive,99,True
user036,Hampi,Decent food. The ambiance was okay but nothing special.,neutral,75,True
user036,Mumbai,Amazing hospitality! The facilities was absolutely wonderful. Highly recommend for families.,positive,31,False
user036,Goa,Fantastic experience at Goa. The accommodation exceeded expectations.,positive,40,True
user036,Darjeeling,Average experience. cleanliness could be better.,neutral,17,True
user036,Ooty,Poor activities and crowded accommodation. Not recommended for couples.,negative,94,True
user036,Kerala,Amazing scenery! The service was absolutely wonderful. Highly recommend for families.,positive,72,True
user036,Delhi,Average experience. accommodation could be better.,neutral,71,True
user036,Manali,Average experience. attractions could be better.,neutral,98,True
user037,Manali,Overrated destination. accommodation needs improvement.,negative,41,False
user037,Leh-Ladakh,Expected better accommodation considering the hype.,negative,9,True
user037,Goa,Fantastic experience at Goa. The attractions exceeded expectations.,positive,33,False
user037,Jaipur,Outstanding Jaipur visit. scenery was incredible.,positive,81,True
user037,Delhi,Disappointing scenery. The ambiance was not up to the mark.,negative,42,True
user038,Leh-Ladakh,Beautiful service and excellent cleanliness. Perfect for couples.,positive,0,True
user038,Ooty,Fantastic experience at Ooty. The scenery exceeded expectations.,positive,13,False
user038,Mumbai,Decent hospitality. The facilities was okay but nothing special.,neutral,7,True
user038,Agra,Outstanding Agra visit. accommodation was incredible.,positive,94,True
user038,Delhi,Standard Delhi visit. activities was acceptable.,neutral,55,True
user038,Hampi,Fantastic experience at Hampi. The scenery exceeded expectations.,positive,27,False
user038,Jaipur,Outstanding Jaipur visit. attractions was incredible.,positive,59,True
user038,Kerala,Overrated destination. hospitality needs improvement.,negative,63,True
user039,Ooty,Poor activities and crowded hospitality. Not recommended for solo travelers.,negative,24,True
user039,Kerala,Beautiful activities and excellent hospitality. Perfect for adventure seekers.,positive,22,True
user039,Mumbai,Decent cleanliness. The ambiance was okay but nothing special.,neutral,59,True
user039,Jaipur,Amazing food! The activities was absolutely wonderful. Highly recommend for couples.,positive,34,False
user039,Manali,Amazing accommodation! The culture was absolutely wonderful. Highly recommend for families.,positive,10,True
user039,Delhi,Standard Delhi visit. ambiance was acceptable.,neutral,22,True
user039,Hampi,Average experience. cleanliness could be better.,neutral,67,True
user039,Leh-Ladakh,Beautiful service and excellent scenery. Perfect for adventure seekers.,positive,50,False
user039,Darjeeling,Beautiful culture and excellent food. Perfect for couples.,positive,63,True
user039,Agra,Decent accommodation. The ambiance was okay but nothing special.,neutral,71,True
user040,Delhi,Fantastic experience at Delhi. The accommodation exceeded expectations.,positive,24,True
user040,Shimla,Standard Shimla visit. views was acceptable.,neutral,46,True
user040,Rishikesh,Expected better accommodation considering the hype.,negative,6,False
user040,Kerala,Outstanding Kerala visit. scenery was incredible.,positive,92,True
user040,Goa,Outstanding Goa visit. cleanliness was incredible.,positive,72,False
user040,Udaipur,Fantastic experience at Udaipur. The attractions exceeded expectations.,positive,34,True
user040,Ooty,Beautiful service and excellent cleanliness. Perfect for solo travelers.,positive,36,False
user040,Hampi,Overrated destination. accommodation needs improvement.,negative,78,True
user040,Darjeeling,Average experience. attractions could be better.,neutral,78,False
user040,Jaipur,Average experience. accommodation could be better.,neutral,18,False
user040,Agra,Average experience. scenery could be better.,neutral,62,True
user041,Varanasi,Standard Varanasi visit. culture was acceptable.,neutral,59,False
user041,Agra,Outstanding Agra visit. attractions was incredible.,positive,58,False
user041,Goa,Decent attractions. The service was okay but nothing special.,neutral,98,True
user041,Leh-Ladakh,Expected better hospitality considering the hype.,negative,52,True
user041,Udaipur,Amazing food! The culture was absolutely wonderful. Highly recommend for families.,positive,15,True
user041,Jaipur,Decent cleanliness. The activities was okay but nothing special.,neutral,21,True
user041,Mumbai,Disappointing scenery. The facilities was not up to the mark.,negative,31,True
user041,Rishikesh,Average experience. attractions could be better.,neutral,80,True
user041,Kerala,Decent food. The ambiance was okay but nothing special.,neutral,58,True
user041,Shimla,Disappointing cleanliness. The activities was not up to the mark.,negative,76,False
user041,Darjeeling,Outstanding Darjeeling visit. scenery was incredible.,positive,22,True
user042,Agra,Outstanding Agra visit. scenery was incredible.,positive,19,True
user042,Varanasi,Decent attractions. The service was okay but nothing special.,neutral,91,True
user042,Delhi,Overrated destination. scenery needs improvement.,negative,26,True
user042,Ooty,Standard Ooty visit. activities was acceptable.,neutral,22,True
user042,Kerala,Standard Kerala visit. ambiance was acceptable.,neutral,56,True
user043,Ooty,Average experience. attractions could be better.,neutral,76,True
user043,Udaipur,Outstanding Udaipur visit. scenery was incredible.,positive,65,True
user043,Leh-Ladakh,Expected better accommodation considering the hype.,negative,40,True
user043,Hampi,Average experience. attractions could be better.,neutral,96,True
user043,Delhi,Beautiful service and excellent scenery. Perfect for adventure seekers.,positive,50,True
user043,Rishikesh,Average experience. attractions could be better.,neutral,59,False
user043,Darjeeling,Outstanding Darjeeling visit. attractions was incredible.,positive,62,True
user043,Varanasi,Decent attractions. The culture was okay but nothing special.,neutral,42,True
user043,Kerala,Decent attractions. The views was okay but nothing special.,neutral,0,False
user044,Udaipur,Amazing scenery! The culture was absolutely wonderful. Highly recommend for solo travelers.,positive,30,True
